Name,Character,Gender,Ethinicity
Yalitza Aparicio,Cleo,Female,POC
Marina de Tavira,SEÑORA SOFÍA,Female,White
Diego Cortina Autrey,Toño,Male,White
Carlos Peralta,Paco,Male,White
Marco Graf,Pepe,Male,White
Daniela Demesa,Sofi,Female,White
Nancy García García,Adela,Female,POC
Verónica García,SEÑORA TERESA,Female,White
Andy Cortés,Ignacio,Male,White
Fernando Grediaga,SEÑOR ANTONIO,Male,White
Jorge Antonio Guerrero,Fermín,Male,White
José Manuel Guerrero Mendoza,Ramón,Male,White
Latin Lover,Profesor Zovek,Male,White
Zarela Lizbeth Chinolla Arellano,DOCTORA VÉLEZ,Female,White
José Luis López Gómez,Pediatra,Male,White
Edwin Mendoza Ramírez,Médico Residente,Male,White
Clementina Guadarrama,Benita,Female,White
Enoc Leaño,Político,Male,White
Nicolás Peréz Taylor Félix,Beto,Male,White
Kjartan Halvorsen,Ove,Male,White
